ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
0.021538461538462,0.2637362637362638,0.9411925601750548,0.0588235294117647,0.1756435528543814,2003-02-24,Shipped,0.0,0.0909090909090909,0.0,Motorcycles,0.3425414364640884,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,0.1024319931303094,USA,,Yu,Kwai,Small
0.0646153846153862,0.3076923076923077,0.7449398249452954,0.2352941176470588,0.1679159923739051,2003-05-07,Shipped,0.3333333333333333,0.3636363636363637,0.0,Motorcycles,0.3425414364640884,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,0.5223622739493566,France,EMEA,Henriot,Paul,Small
0.1046153846153852,0.3846153846153846,0.9280634573304156,0.0588235294117647,0.250150176425132,2003-07-01,Shipped,0.6666666666666667,0.5454545454545455,0.0,Motorcycles,0.3425414364640884,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,0.7718792488320506,France,EMEA,Da Cunha,Daniel,Medium
0.1384615384615374,0.4285714285714286,0.7710612691466083,0.2941176470588235,0.2400300867530791,2003-08-25,Shipped,0.6666666666666667,0.6363636363636365,0.0,Motorcycles,0.3425414364640884,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,0.9200580652416148,USA,,Young,Julie,Medium
0.1815384615384616,0.4725274725274726,1.0,0.7647058823529411,0.3472725975999712,2003-10-10,Shipped,1.0,0.8181818181818185,0.0,Motorcycles,0.3425414364640884,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
0.209230769230767,0.3296703296703297,0.9543216630196936,0.0,0.2204031124937228,2003-10-28,Shipped,1.0,0.8181818181818185,0.0,Motorcycles,0.3425414364640884,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,0.9631367497776552,USA,,Hirano,Juri,Medium
0.2461538461538444,0.2527472527472528,0.8103118161925602,0.4705882352941176,0.1482015224249982,2003-11-11,Shipped,1.0,0.9090909090909092,0.0,Motorcycles,0.3425414364640884,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,0.6031220290121754,France,EMEA,Rance,Martine,Small
0.2707692307692317,0.4615384615384615,1.0,0.0,0.3698486912777091,2003-11-18,Shipped,1.0,0.9090909090909092,0.0,Motorcycles,0.3425414364640884,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,,Norway,EMEA,Oeztan,Veysel,Medium
0.3107692307692307,0.1758241758241758,0.9804431072210064,0.0588235294117647,0.1239946267353005,2003-12-01,Shipped,1.0,1.0,0.0,Motorcycles,0.3425414364640884,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small
0.3415384615384612,0.3846153846153846,1.0,0.7647058823529411,0.3107427795836529,2004-01-15,Shipped,0.0,0.0,0.5,Motorcycles,0.3425414364640884,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,0.7668496539597839,France,EMEA,Perrier,Dominique,Medium
