ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
0.021538461538462172,0.2637362637362638,0.9411925601750548,0.058823529411764705,0.17564355285438144,2003-02-24,Shipped,0.0,0.09090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,0.10243199313030944,USA,,Yu,Kwai,Small
0.06461538461538652,0.3076923076923077,0.7449398249452954,0.23529411764705882,0.16791599237390512,2003-05-07,Shipped,0.3333333333333333,0.36363636363636365,0.0,Motorcycles,0.3425414364640884,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,0.5223622739493565,France,EMEA,Henriot,Paul,Small
0.10461538461538566,0.38461538461538464,0.9280634573304156,0.058823529411764705,0.250150176425132,2003-07-01,Shipped,0.6666666666666667,0.5454545454545454,0.0,Motorcycles,0.3425414364640884,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,0.7718792488320504,France,EMEA,Da Cunha,Daniel,Medium
0.13846153846153797,0.4285714285714286,0.7710612691466083,0.2941176470588235,0.24003008675307907,2003-08-25,Shipped,0.6666666666666667,0.6363636363636364,0.0,Motorcycles,0.3425414364640884,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,0.9200580652416147,USA,,Young,Julie,Medium
0.18153846153846231,0.4725274725274726,1.0,0.7647058823529411,0.3472725975999712,2003-10-10,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
0.20923076923076778,0.3296703296703297,0.9543216630196936,0.0,0.22040311249372274,2003-10-28,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,0.9631367497776551,USA,,Hirano,Juri,Medium
0.24615384615384528,0.2527472527472528,0.8103118161925602,0.47058823529411764,0.14820152242499818,2003-11-11,Shipped,1.0,0.9090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,0.6031220290121753,France,EMEA,Rance,Martine,Small
0.27076923076923265,0.46153846153846156,1.0,0.0,0.3698486912777091,2003-11-18,Shipped,1.0,0.9090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,,Norway,EMEA,Oeztan,Veysel,Medium
0.3107692307692318,0.17582417582417587,0.9804431072210065,0.058823529411764705,0.12399462673530054,2003-12-01,Shipped,1.0,0.9999999999999999,0.0,Motorcycles,0.3425414364640884,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small
0.34153846153846246,0.38461538461538464,1.0,0.7647058823529411,0.3107427795836528,2004-01-15,Shipped,0.0,0.0,0.5,Motorcycles,0.3425414364640884,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,0.7668496539597837,France,EMEA,Perrier,Dominique,Medium
0.37846153846153996,0.3406593406593407,1.0,0.0,0.25612929363038733,2004-02-20,Shipped,0.0,0.09090909090909091,0.5,Motorcycles,0.3425414364640884,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,0.030688706923871153,Australia,APAC,Ferguson,Peter,Medium
